Date,PPFB.DE
2021-07-01,30.15999984741211
2021-08-01,29.722000122070312
2021-09-01,30.003999710083008
2021-10-01,29.583999633789062
2021-11-01,30.073999404907227
2021-12-01,30.625999450683594
2022-01-01,31.392000198364258
2022-02-01,31.54199981689453
2022-03-01,33.14799880981445
2022-04-01,34.0359992980957
2022-05-01,34.84000015258789
2022-06-01,33.80799865722656
2022-07-01,33.534000396728516
2022-08-01,33.61199951171875
2022-09-01,33.21200180053711
2022-10-01,33.066001892089844
2022-11-01,32.31399917602539
2022-12-01,33.24399948120117
2023-01-01,34.11800003051758
2023-02-01,34.47200012207031
2023-03-01,33.5880012512207
2023-04-01,35.236000061035156
2023-05-01,35.11600112915039
2023-06-01,35.75400161743164
2023-07-01,34.26599884033203
2023-08-01,34.66999816894531
2023-09-01,34.82600021362305
2023-10-01,33.91999816894531
2023-11-01,36.4640007019043
2023-12-01,36.417999267578125
2024-01-01,36.332000732421875
2024-02-01,36.80799865722656
2024-03-01,36.79399871826172
2024-04-01,39.99399948120117
2024-05-01,41.79800033569336
2024-06-01,41.645999908447266
2024-07-01,42.012001037597656
2024-08-01,43.91400146484375
2024-09-01,43.900001525878906
2024-10-01,46.20000076293945
2024-11-01,49.19599914550781
2024-12-01,48.63800048828125
2025-01-01,48.74599838256836
2025-02-01,53.04499816894531
2025-03-01,53.47999954223633
2025-04-01,56.36000061035156
2025-05-01,56.67499923706055
2025-06-01,57.0099983215332
2025-07-01,54.9900016784668
