Date,XMME.DE
2017-06-01,44.66889953613281
2017-07-01,39.810001373291016
2017-08-01,40.529998779296875
2017-09-01,41.20000076293945
2017-10-01,41.599998474121094
2017-11-01,43.869998931884766
2017-12-01,42.25
2018-01-01,43.619998931884766
2018-02-01,45.46200180053711
2018-03-01,44.224998474121094
2018-04-01,43.15800094604492
2018-05-01,43.518001556396484
2018-06-01,43.652000427246094
2018-07-01,40.85900115966797
2018-08-01,42.52399826049805
2018-09-01,41.34299850463867
2018-10-01,41.39899826049805
2018-11-01,38.821998596191406
2018-12-01,41.39400100708008
2019-01-01,38.75199890136719
2019-02-01,42.356998443603516
2019-03-01,42.67499923706055
2019-04-01,43.87799835205078
2019-05-01,44.433998107910156
2019-06-01,41.5880012512207
2019-07-01,43.92900085449219
2019-08-01,43.37200164794922
2019-09-01,41.854000091552734
2019-10-01,43.250999450683594
2019-11-01,44.082000732421875
2019-12-01,44.448001861572266
2020-01-01,47.24100112915039
2020-02-01,44.90700149536133
2020-03-01,43.52000045776367
2020-04-01,35.47800064086914
2020-05-01,39.64400100708008
2020-06-01,39.222999572753906
2020-07-01,42.263999938964844
2020-08-01,43.665000915527344
2020-09-01,44.4640007019043
2020-10-01,44.8390007019043
2020-11-01,45.55799865722656
2020-12-01,48.777000427246094
2021-01-01,50.34600067138672
2021-02-01,53.75199890136719
2021-03-01,54.25600051879883
2021-04-01,54.69599914550781
2021-05-01,53.395999908447266
2021-06-01,54.902000427246094
2021-07-01,56.012001037597656
2021-08-01,52.81999969482422
2021-09-01,54.06800079345703
2021-10-01,51.7239990234375
2021-11-01,53.066001892089844
2021-12-01,52.768001556396484
2022-01-01,53.4379997253418
2022-02-01,53.45000076293945
2022-03-01,51.7140007019043
2022-04-01,50.599998474121094
2022-05-01,49.67300033569336
2022-06-01,48.959999084472656
2022-07-01,46.67399978637695
2022-08-01,48.25899887084961
2022-09-01,48.518001556396484
2022-10-01,44.380001068115234
2022-11-01,43.51599884033203
2022-12-01,47.027000427246094
2023-01-01,44.900001525878906
2023-02-01,48.36199951171875
2023-03-01,46.643001556396484
2023-04-01,45.986000061035156
2023-05-01,44.957000732421875
2023-06-01,45.362998962402344
2023-07-01,46.861000061035156
2023-08-01,48.499000549316406
2023-09-01,46.45899963378906
2023-10-01,46.08300018310547
2023-11-01,44.21200180053711
2023-12-01,46.106998443603516
2024-01-01,47.465999603271484
2024-02-01,46.47700119018555
2024-03-01,48.66600036621094
2024-04-01,49.94599914550781
2024-05-01,50.566001892089844
2024-06-01,51.36399841308594
2024-07-01,52.599998474121094
2024-08-01,52.81999969482422
2024-09-01,51.965999603271484
2024-10-01,54.928001403808594
2024-11-01,54.358001708984375
2024-12-01,54.2859992980957
2025-01-01,54.02799987792969
2025-02-01,55.04199981689453
2025-03-01,55.70399856567383
2025-04-01,54.54199981689453
2025-05-01,51.77199935913086
2025-06-01,53.689998626708984
2025-07-01,55.90399932861328
