vincita,qt,1_qt,prob,prob cum
1936849.0,12.0,4560000.0,2.192982456140351e-07,2.192982456140351e-07
50000.0,24.0,2280000.0,4.385964912280702e-07,6.578947368421053e-07
10000.0,96.0,570000.0,1.7543859649122807e-06,2.412280701754386e-06
5000.0,204.0,268235.29411764705,3.7280701754385965e-06,6.140350877192983e-06
1000.0,3648.0,15000.0,6.666666666666667e-05,7.280701754385966e-05
500.0,3192.0,17142.85714285714,5.833333333333334e-05,0.000131140350877193
200.0,58140.0,941.1764705882352,0.0010625,0.0011936403508771931
100.0,129960.0,421.05263157894734,0.002375,0.0035686403508771933
50.0,394440.0,138.72832369942196,0.007208333333333333,0.010776973684210527
20.0,912000.0,60.0,0.016666666666666666,0.027443640350877194
15.0,1185600.0,46.15384615384615,0.021666666666666667,0.04911030701754386
10.0,5016000.0,10.909090909090908,0.09166666666666667,0.14077697368421055
5.0,7296000.0,7.5,0.13333333333333333,0.2741103070175439
0.0,39720684.0,1.3776197811699316,0.7258896929824561,1.0
